Product_name,Rating,Price,Product_link,Image_link
"HP HP Victus 15-fb0035ne - AMD Ryzen 5-5600H - 16GB - 1TB SSD - NVIDIA GeForce GTX 1650 4GB - 15.6"" FHD - Win11 - English/Arabic Mica Silver",N/A,"38,999",https://www.noon.com/egypt-en/hp-victus-15-fb0035ne-amd-ryzen-5-5600h-16gb-1tb-ssd-nvidia-geforce-gtx-1650-4gb-15-6-fhd-win11-english-arabic-mica-silver/N53426418A/p/?o=e4204831fe3b73ea,https://f.nooncdn.com/p/v1691390035/N53426418A_1.jpg?width=800
1STPLAYER TMD Radeon Gaming PC Core i5-10400F Processor/ 16GB RAM/ 1TB SSD/ Windows 10 Pro /AMD RX580 With RGB FANS Black,N/A,"32,500",https://www.noon.com/egypt-en/tmd-radeon-gaming-pc-core-i5-10400f-processor-16gb-ram-1tb-ssd-windows-10-pro-amd-rx580-with-rgb-fans-black/N53426475A/p/?o=d4f21e45f6a02abc,https://f.nooncdn.com/p/v1691402518/N53426475A_1.jpg?width=800
"ASUS 2023 Latest Rog Strix G18 Gaming (Upgraded Version) Laptop With 18-Inch Display, Core i9-13980HX Processor/16GB RAM/1TB SSD/12GB NVIDIA RTX 4080 Graphics Card/Windows 11 With FREE Gaming Headset/ English Grey",N/A,"277,875",https://www.noon.com/egypt-en/2023-latest-rog-strix-g18-gaming-upgraded-version-laptop-with-18-inch-display-core-i9-13980hx-processor-16gb-ram-1tb-ssd-12gb-nvidia-rtx-4080-graphics-card-windows-11-with-free-gaming-headset-english-grey/N36995969A/p/?o=db26d8aef42656db,https://f.nooncdn.com/p/pnsku/N36995969A/45/_/1700566761/a586e198-45bd-49c1-90ee-32a3854a2ca6.jpg?width=800
1STPLAYER TMD Radeon Gaming PC With Core i5-12400F Processor/ 16GB RAM//1TB Emmc / Windows 10 Pro AMD RX580 With RGB FANS Black,4.0,"31,000",https://www.noon.com/egypt-en/tmd-radeon-gaming-pc-with-core-i5-12400f-processor-16gb-ram-1tb-emmc-windows-10-pro-amd-rx580-with-rgb-fans-black/N53425696A/p/?o=f34efa1c035fddff,https://f.nooncdn.com/p/v1691057134/N53425696A_1.jpg?width=800
Acer Nitro V ANV15 Gaming Notebook 13Th Gen Intel Core i5-13420H Octa Core/8GB DDR5 RAM/512GB SSD Storage/6GB NVIDIA®GeForce®RTX 3050 Graphics/15.6 Inch FHD IPS 144Hz Display/Win 11 Home English/Arabic Obsidian Black,4.1,"42,500",https://www.noon.com/egypt-en/nitro-v-anv15-gaming-notebook-13th-gen-intel-core-i5-13420h-octa-core-8gb-ddr5-ram-512gb-ssd-storage-6gb-nvidia-geforce-rtx-3050-graphics-15-6-inch-fhd-ips-144hz-display-win-11-home-english-arabic-obsidian-black/N70014876V/p/?o=a2eb5c7b76fe3b5e,https://f.nooncdn.com/p/pnsku/N70014876V/45/_/1717136054/563a755e-3bdb-41bf-948c-80d6c0cc4fb1.jpg?width=800
"DELL Dell G15 5530 i7-13650HX, 8GB 15.6 Inch FHD 120Hz 16GB DDR5 RAM 1TB SSD NVIDIAÂ® GeForce RTXâ„¢ 4060, 8 GB GDDR6 Win 11 DARK SHADOW GRAY BIACK THERMAL SHEIF English/Arabic DARK SHADOW GRAY",5.0,"65,430",https://www.noon.com/egypt-en/dell-g15-5530-i7-13650hx-8gb-15-6-inch-fhd-120hz-16gb-ddr5-ram-1tb-ssd-nvidia-geforce-rtx-4060-8-gb-gddr6-win-11-dark-shadow-gray-biack-thermal-sheif-english-arabic-dark-shadow-gray/N70092944V/p/?o=be230ed2f7076e8e,https://f.nooncdn.com/p/pnsku/N70092944V/45/_/1721025138/a5cb2664-696a-4da4-9c6f-e131d69ea648.jpg?width=800
"1STPLAYER PC Gaming super Pro TMD , Core i5-12400F Processor/ 16GB RAM / 1TB SSD / Windows 10 Pro /Nvidia RTX 4070 Dual 12GB/ Black",N/A,"57,999",https://www.noon.com/egypt-en/pc-gaming-super-pro-tmd-core-i5-12400f-processor-16gb-ram-1tb-ssd-windows-10-pro-nvidia-rtx-4070-dual-12gb-black/N53426474A/p/?o=e7dbdfe219f9dedf,https://f.nooncdn.com/p/v1691402519/N53426474A_1.jpg?width=800
"HP 290 G4 Micro Tower PC, Core i5-10400 Processer/4GB RAM/1TB HDD/Intel UHD Graphics Black",N/A,"21,600",https://www.noon.com/egypt-en/290-g4-micro-tower-pc-core-i5-10400-processer-4gb-ram-1tb-hdd-intel-uhd-graphics-black/N53270187A/p/?o=f5a5fa95e654c8fc,https://f.nooncdn.com/p/v1651643151/N53270187A_1.jpg?width=800
1STPLAYER PC Gaming  Core i5-11400F Processor/16GB RAM 3200MB DDR4/1TB SSD/Windows 10 Pro/4GB NVIDIA GeForce GTX 1650 Graphics Card Black,4.0,"39,900",https://www.noon.com/egypt-en/pc-gaming-core-i5-11400f-processor-16gb-ram-3200mb-ddr4-1tb-ssd-windows-10-pro-4gb-nvidia-geforce-gtx-1650-graphics-card-black/N70088271V/p/?o=f3f6ce48bfea463b,https://f.nooncdn.com/p/pnsku/N70088271V/45/_/1719813974/c2b1a3ed-272a-40be-b974-297987a4ca96.jpg?width=800
DELL G15-5510 Laptop 15.6 Inch Intel Core i7 10870H 16GB Ram 512GB SSSD 4GB Nvidia Geforce Rtx 3050 120Hz- Windows 10 English/Arabic Dark Shadow Grey,N/A,"50,500",https://www.noon.com/egypt-en/g15-5510-laptop-15-6-inch-intel-core-i7-10870h-16gb-ram-512gb-sssd-4gb-nvidia-geforce-rtx-3050-120hz-windows-10-english-arabic-dark-shadow-grey/N50563814A/p/?o=f438e856d38b736b,https://f.nooncdn.com/p/v1630386321/N50563814A_1.jpg?width=800
